Opcode,M_Cycle,Label,Addr_Sel,Reg_Dest,Reg_Src,ALU_Op,IDU_Op,Mem_Read,Mem_Write,Is_Done
0xCD,3,CALL nn M3,PC,TEMP_W,REG_MEM,NONE,PC_INC,1,0,0
0xCD,4,CALL nn M4,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xCD,5,CALL nn M5,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xCD,6,CALL nn M6,SP,REG_MEM,REG_PC_L,NONE,WZ_TO_PC,0,1,1
0xC4,1,"CALL NZ,nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xC4,2,"CALL NZ,nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xC4,3,"CALL NZ,nn M3",PC,TEMP_W,REG_MEM,CHECK_CC,PC_INC,1,0,0
0xC4,4,"CALL NZ,nn M4",NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xC4,5,"CALL NZ,nn M5",SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xC4,6,"CALL NZ,nn M6",SP,REG_MEM,REG_PC_L,NONE,WZ_TO_PC,0,1,1
0xCC,1,"CALL Z,nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xCC,2,"CALL Z,nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xCC,3,"CALL Z,nn M3",PC,TEMP_W,REG_MEM,CHECK_CC,PC_INC,1,0,0
0xCC,4,"CALL Z,nn M4",NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xCC,5,"CALL Z,nn M5",SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xCC,6,"CALL Z,nn M6",SP,REG_MEM,REG_PC_L,NONE,WZ_TO_PC,0,1,1
0xD4,1,"CALL NC,nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xD4,2,"CALL NC,nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xD4,3,"CALL NC,nn M3",PC,TEMP_W,REG_MEM,CHECK_CC,PC_INC,1,0,0
0xD4,4,"CALL NC,nn M4",NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xD4,5,"CALL NC,nn M5",SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xD4,6,"CALL NC,nn M6",SP,REG_MEM,REG_PC_L,NONE,WZ_TO_PC,0,1,1
0xDC,1,"CALL C,nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xDC,2,"CALL C,nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xDC,3,"CALL C,nn M3",PC,TEMP_W,REG_MEM,CHECK_CC,PC_INC,1,0,0
0xDC,4,"CALL C,nn M4",NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xDC,5,"CALL C,nn M5",SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xDC,6,"CALL C,nn M6",SP,REG_MEM,REG_PC_L,NONE,WZ_TO_PC,0,1,1
0xC9,1,RET M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xC9,2,RET M2,SP,TEMP_Z,REG_MEM,NONE,SP_INC,1,0,0
0xC9,3,RET M3,SP,TEMP_W,REG_MEM,NONE,SP_INC,1,0,0
0xC9,4,RET M4,NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xC0,1,RET NZ M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xC0,2,RET NZ M2,NONE,NONE,NONE,CHECK_CC,NONE,0,0,0
0xC0,3,RET NZ M3,SP,TEMP_Z,REG_MEM,NONE,SP_INC,1,0,0
0xC0,4,RET NZ M4,SP,TEMP_W,REG_MEM,NONE,SP_INC,1,0,0
0xC0,5,RET NZ M5,NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xC8,1,RET Z M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xC8,2,RET Z M2,NONE,NONE,NONE,CHECK_CC,NONE,0,0,0
0xC8,3,RET Z M3,SP,TEMP_Z,REG_MEM,NONE,SP_INC,1,0,0
0xC8,4,RET Z M4,SP,TEMP_W,REG_MEM,NONE,SP_INC,1,0,0
0xC8,5,RET Z M5,NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xD0,1,RET NC M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xD0,2,RET NC M2,NONE,NONE,NONE,CHECK_CC,NONE,0,0,0
0xD0,3,RET NC M3,SP,TEMP_Z,REG_MEM,NONE,SP_INC,1,0,0
0xD0,4,RET NC M4,SP,TEMP_W,REG_MEM,NONE,SP_INC,1,0,0
0xD0,5,RET NC M5,NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xD8,1,RET C M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xD8,2,RET C M2,NONE,NONE,NONE,CHECK_CC,NONE,0,0,0
0xD8,3,RET C M3,SP,TEMP_Z,REG_MEM,NONE,SP_INC,1,0,0
0xD8,4,RET C M4,SP,TEMP_W,REG_MEM,NONE,SP_INC,1,0,0
0xD8,5,RET C M5,NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xD9,1,RETI M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xD9,2,RETI M2,SP,TEMP_Z,REG_MEM,NONE,SP_INC,1,0,0
0xD9,3,RETI M3,SP,TEMP_W,REG_MEM,NONE,SP_INC,1,0,0
0xD9,4,RETI M4,NONE,NONE,NONE,NONE,RETI_DONE,0,0,1
0xC7,1,RST 00h M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xC7,2,RST 00h M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xC7,3,RST 00h M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xC7,4,RST 00h M4,SP,REG_MEM,REG_PC_L,NONE,RST_PC,0,1,1
0xCF,1,RST 08h M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xCF,2,RST 08h M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xCF,3,RST 08h M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xCF,4,RST 08h M4,SP,REG_MEM,REG_PC_L,NONE,RST_PC,0,1,1
0xD7,1,RST 10h M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xD7,2,RST 10h M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xD7,3,RST 10h M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xD7,4,RST 10h M4,SP,REG_MEM,REG_PC_L,NONE,RST_PC,0,1,1
0xDF,1,RST 18h M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xDF,2,RST 18h M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xDF,3,RST 18h M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xDF,4,RST 18h M4,SP,REG_MEM,REG_PC_L,NONE,RST_PC,0,1,1
0xE7,1,RST 20h M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xE7,2,RST 20h M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xE7,3,RST 20h M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xE7,4,RST 20h M4,SP,REG_MEM,REG_PC_L,NONE,RST_PC,0,1,1
0xEF,1,RST 28h M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xEF,2,RST 28h M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xEF,3,RST 28h M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xEF,4,RST 28h M4,SP,REG_MEM,REG_PC_L,NONE,RST_PC,0,1,1
0xF7,1,RST 30h M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xF7,2,RST 30h M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xF7,3,RST 30h M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xF7,4,RST 30h M4,SP,REG_MEM,REG_PC_L,NONE,RST_PC,0,1,1
0xFF,1,RST 38h M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xFF,2,RST 38h M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0xFF,3,RST 38h M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0xFF,4,RST 38h M4,SP,REG_MEM,REG_PC_L,NONE,RST_PC,0,1,1
0x100,1,INT M1,NONE,NONE,NONE,NONE,GET_INT_VECTOR,1,0,0
0x100,2,INT M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,0
0x100,3,INT M3,SP,REG_MEM,REG_PC_H,NONE,SP_DEC,0,1,0
0x100,4,INT M4,SP,REG_MEM,REG_PC_L,NONE,WZ_TO_PC,0,1,1
0x76,1,HALT M1,PC,NONE,NONE,NONE,HALT_START,1,0,1
0x10,1,STOP M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x10,2,STOP M2,PC,NONE,NONE,NONE,PC_INC,1,0,1
0xF3,1,DI M1,PC,NONE,NONE,NONE,DI_OP,1,0,1
0xFB,1,EI M1,PC,NONE,NONE,NONE,EI_OP,1,0,1
